rule,horizon_days,signals,win_rate,loss_rate,average_return,median_return,p10_return,p25_return,p75_return,p90_return,best_return,worst_return,std_return,average_ex_top_1pct,top_1pct_profit_contribution,profit_factor,robustness_score
Reversal: Bull Engulf + Support,1,1346,0.4205052005943536,0.4635958395245171,-0.0005814182969041,0.0,-0.0148468032122772,-0.0045471573309785,0.0030452122727347,0.0123040623875726,0.1272965879265091,-0.1342857142857143,0.0163031600907981,-0.0013759964718349,0.191109771847614,0.8754882091414511,17.50976418282902
Reversal: Bull Engulf + Support,3,1326,0.5120663650075414,0.4328808446455505,0.0006800616338439,0.0004752868889491,-0.0235349369125461,-0.0050651084490724,0.0071522477925894,0.0254905204302932,0.3720598006644517,-0.1995652173913044,0.0310239753696372,-0.0008446590351954,0.1802033529908315,1.0879189600879615,32.57806025863196
Reversal: Bull Engulf + Support,5,1326,0.5369532428355958,0.4283559577677224,0.0025574560199189,0.0009675879114705,-0.0262757267831496,-0.0065498755292843,0.0111154797832571,0.0380262237770606,0.8902439024390245,-0.4119782214156079,0.0473994121964453,0.0003480704932271,0.1817120446705101,1.2658466708765472,41.21181658480143
Reversal: Bull Engulf + Support,10,1285,0.5610894941634241,0.4202334630350194,0.0045342375861544,0.0017980919354774,-0.0463119184901785,-0.0102389078498293,0.0162464985994397,0.0540551265100198,1.552941176470588,-0.6900149031296572,0.0780423697819198,0.0004113521297454,0.2164598618598377,1.3120520002659273,47.06823779688175
Reversal: Bull Engulf + Support,20,1174,0.5783645655877342,0.4105621805792163,0.0092894744665919,0.0029565646594273,-0.0646016740305224,-0.0146204926356409,0.0305980725623582,0.0951475319617306,1.670588235294118,-0.6259314456035767,0.1132698552404716,0.0031453089696102,0.1948893987468154,1.4149279160855737,56.5808534577741
Secondary: Breakdown + RSI,1,8320,0.4657451923076923,0.5110576923076923,-0.0019449788113185,-0.0014564874592523,-0.0794566401100475,-0.0342851423463742,0.0274044852898677,0.0730974750440399,2.469135802469136,-0.84,0.0983178207613698,-0.0070880499298996,0.1986296880855598,0.9292265313374272,21.20872934469725
Secondary: Breakdown + RSI,3,8190,0.500976800976801,0.4891330891330891,0.0766230844705452,0.000290880817683,-0.140403584710114,-0.0557476575007063,0.0544244764397905,0.1345141700404859,92.83954154727792,-0.9913896848137536,2.113072708730192,-0.0069046998293162,0.6749825675897507,2.6294530342982467,31.99996296004449
Secondary: Breakdown + RSI,5,8181,0.4873487348734873,0.502628040581836,0.0407548935110424,-0.0008791208791208,-0.1810136765888979,-0.072992700729927,0.0652173913043479,0.1575757575757574,87.68194842406878,-0.998418837148119,1.457176903463259,-0.0098013084765611,0.502667752484836,1.6834877560464236,36.12815037432544
Secondary: Breakdown + RSI,10,8023,0.5026797955876854,0.490090988408326,0.0251150863697463,0.0018281535648996,-0.2615396785255193,-0.100247249388753,0.0944348635533418,0.2289269026972825,13.686567164179104,-0.9617732558139536,0.5091524834120187,-0.0080972104952166,0.3124015594132264,1.3102953098795271,36.814025693771065
Secondary: Breakdown + RSI,20,7192,0.5045884315906563,0.4916573971078977,0.0159220472565138,0.002403603166489,-0.3831958321438766,-0.1473397913561848,0.1240374749949601,0.3015651659396928,10.776636019469985,-0.9944516129032258,0.5059214942599956,-0.0185230182796976,0.2687326656127607,1.1427046243038457,34.35576758434197
Secondary: Breakdown + RSI + Volume,1,3264,0.4586397058823529,0.5245098039215687,-0.0060447523336033,-0.003380376967207,-0.0997880497167485,-0.0412539220080682,0.0303030303030302,0.0789378566899175,2.0950807635829665,-0.84,0.1142463899723751,-0.0117243953937325,0.194788683261816,0.8253598911864609,17.94714880412137
Secondary: Breakdown + RSI + Volume,3,3194,0.4877896055103318,0.5006261740763932,0.1297983330328189,-0.0003408428955811,-0.168354381641768,-0.0641246118012422,0.05504826009652,0.1424250912106137,92.83954154727792,-0.9913896848137536,2.9436398204669496,-0.0152515540907669,0.7736144460185039,3.257100287777529,26.36653720833898
